Time,Close
03.12.2002 16:00:00.000,1.57100
04.12.2002 16:00:00.000,1.57560
05.12.2002 16:00:00.000,1.57300
06.12.2002 16:00:00.000,1.57480
07.12.2002 16:00:00.000,1.57480
08.12.2002 16:00:00.000,1.57480
09.12.2002 16:00:00.000,1.57790
10.12.2002 16:00:00.000,1.57200
11.12.2002 16:00:00.000,1.56650
12.12.2002 16:00:00.000,1.57140
13.12.2002 16:00:00.000,1.56100
14.12.2002 16:00:00.000,1.56100
15.12.2002 16:00:00.000,1.56100
16.12.2002 16:00:00.000,1.56830
17.12.2002 16:00:00.000,1.57420
18.12.2002 16:00:00.000,1.57510
19.12.2002 16:00:00.000,1.57860
20.12.2002 16:00:00.000,1.58530
21.12.2002 16:00:00.000,1.58530
22.12.2002 16:00:00.000,1.58530
23.12.2002 16:00:00.000,1.59300
24.12.2002 16:00:00.000,1.59450
25.12.2002 16:00:00.000,1.60090
26.12.2002 16:00:00.000,1.59780
27.12.2002 16:00:00.000,1.59080
28.12.2002 16:00:00.000,1.59080
29.12.2002 16:00:00.000,1.59080
30.12.2002 16:00:00.000,1.59280
31.12.2002 16:00:00.000,1.59280
01.01.2003 16:00:00.000,1.59680
02.01.2003 16:00:00.000,1.59810
03.01.2003 16:00:00.000,1.59560
04.01.2003 16:00:00.000,1.59560
05.01.2003 16:00:00.000,1.59560
06.01.2003 16:00:00.000,1.59810
07.01.2003 16:00:00.000,1.59580
08.01.2003 16:00:00.000,1.59680
09.01.2003 16:00:00.000,1.59750
10.01.2003 16:00:00.000,1.59550
11.01.2003 16:00:00.000,1.59550
12.01.2003 16:00:00.000,1.59550
13.01.2003 16:00:00.000,1.59420
14.01.2003 16:00:00.000,1.58850
15.01.2003 16:00:00.000,1.59900
16.01.2003 16:00:00.000,1.61050
17.01.2003 16:00:00.000,1.61380
18.01.2003 16:00:00.000,1.61380
19.01.2003 16:00:00.000,1.61380
20.01.2003 16:00:00.000,1.61100
21.01.2003 16:00:00.000,1.60880
22.01.2003 16:00:00.000,1.60160
23.01.2003 16:00:00.000,1.60360
24.01.2003 16:00:00.000,1.61040
25.01.2003 16:00:00.000,1.61040
26.01.2003 16:00:00.000,1.61040
27.01.2003 16:00:00.000,1.59940
28.01.2003 16:00:00.000,1.59400
29.01.2003 16:00:00.000,1.58720
30.01.2003 16:00:00.000,1.58830
31.01.2003 16:00:00.000,1.58970
01.02.2003 16:00:00.000,1.58970
02.02.2003 16:00:00.000,1.58970
03.02.2003 16:00:00.000,1.59750
04.02.2003 16:00:00.000,1.59720
05.02.2003 16:00:00.000,1.60510
06.02.2003 16:00:00.000,1.59860
07.02.2003 16:00:00.000,1.59750
08.02.2003 16:00:00.000,1.59750
09.02.2003 16:00:00.000,1.59750
10.02.2003 16:00:00.000,1.59010
