Date,Close,Volume
"Dec 3, 2012","1,409.46","517,130,581"
"Nov 30, 2012","1,416.18","836,942,757"
"Nov 29, 2012","1,415.95","509,860,077"
"Nov 28, 2012","1,409.93","552,197,619"
"Nov 27, 2012","1,398.94","527,017,551"
"Nov 26, 2012","1,406.29","505,032,802"
"Nov 23, 2012","1,409.15","242,179,185"
"Nov 21, 2012","1,391.03","392,239,769"
"Nov 20, 2012","1,387.81","508,090,326"
"Nov 19, 2012","1,386.89","563,440,897"
"Nov 16, 2012","1,359.88","842,559,422"
"Nov 15, 2012","1,353.33","602,714,906"
"Nov 14, 2012","1,355.49","659,656,333"
"Nov 13, 2012","1,374.53","551,632,267"
"Nov 12, 2012","1,380.03","282,625,115"
"Nov 9, 2012","1,379.85","575,874,033"
"Nov 8, 2012","1,377.51","612,832,891"
"Nov 7, 2012","1,394.53","692,222,492"
"Nov 6, 2012","1,428.39","542,763,083"
"Nov 5, 2012","1,417.26","459,314,757"
"Nov 2, 2012","1,414.20","607,515,078"
"Nov 1, 2012","1,427.59","599,183,333"
"Oct 31, 2012","1,412.16","653,602,157"
"Oct 26, 2012","1,411.94","605,527,345"
"Oct 25, 2012","1,412.97","557,434,364"
"Oct 24, 2012","1,408.75","541,725,506"
"Oct 23, 2012","1,413.11","552,734,426"
"Oct 22, 2012","1,433.82","511,793,048"
"Oct 19, 2012","1,433.19","885,609,982"
"Oct 18, 2012","1,457.34","565,585,517"
"Oct 17, 2012","1,460.91","551,740,702"
"Oct 16, 2012","1,454.92","484,885,417"
"Oct 15, 2012","1,440.13","489,333,574"
"Oct 12, 2012","1,428.59","513,582,409"
"Oct 11, 2012","1,432.84","496,857,673"
"Oct 10, 2012","1,432.56","453,629,169"
"Oct 9, 2012","1,441.48","476,218,789"
"Oct 8, 2012","1,455.88","350,746,873"
"Oct 5, 2012","1,460.93","478,514,658"
"Oct 4, 2012","1,461.40","496,741,833"
"Oct 3, 2012","1,450.99","506,553,034"
"Oct 2, 2012","1,445.75","457,426,374"
"Oct 1, 2012","1,444.49","511,947,340"
"Sep 28, 2012","1,440.67","628,322,964"
"Sep 27, 2012","1,447.15","479,755,080"
"Sep 26, 2012","1,433.32","535,569,919"
"Sep 25, 2012","1,441.59","593,072,603"
"Sep 24, 2012","1,456.89","490,691,036"
"Sep 21, 2012","1,460.15","1,473,948,102"
"Sep 20, 2012","1,460.26","526,569,603"
"Sep 19, 2012","1,461.05","514,794,246"
"Sep 18, 2012","1,459.32","487,005,681"
"Sep 17, 2012","1,461.19","517,631,769"
"Sep 14, 2012","1,465.77","732,027,929"
"Sep 13, 2012","1,459.99","608,373,240"
"Sep 12, 2012","1,436.56","493,270,053"
"Sep 11, 2012","1,433.56","520,792,853"
"Sep 10, 2012","1,429.08","487,014,538"
"Sep 7, 2012","1,437.92","540,397,282"
"Sep 6, 2012","1,432.12","563,049,867"
"Sep 5, 2012","1,403.44","468,363,922"
"Sep 4, 2012","1,404.94","464,461,357"
"Aug 31, 2012","1,406.58","566,311,056"
"Aug 30, 2012","1,399.48","398,456,591"
"Aug 29, 2012","1,410.49","391,057,394"
"Aug 28, 2012","1,409.30","400,891,580"
"Aug 27, 2012","1,410.44","414,499,366"
"Aug 24, 2012","1,411.13","425,661,953"
"Aug 23, 2012","1,402.08","451,905,114"
