Case ID,Opened,Closed,Status,Address,Category,Request Type,Request Details,Supervisor District,Neighborhood,Latitude,Longitude
1812130,12/22/2012 03:50 PM,12/25/2012 04:31 AM,Closed,Intersection of HILLSIDE LN and ,Graffiti Public Property,Graffiti on Pay_phone Not_Offensive,Graffiti on Pay_phone Not_Offensive,9,Sunnyside,37.732281779,-122.433929455
1812128,12/22/2012 03:50 PM,,Open,Intersection of HILLSIDE LN and,Graffiti Public Property,Graffiti on Public Property - Not_Offensive,Graffiti on Public Property - Not_Offensive,9,Sunnyside,37.732281779,-122.433929455
1812127,12/22/2012 03:50 PM,12/26/2012 07:14 AM,Closed,Intersection of GEARY BLVD and STEINER ST,Graffiti Public Property,Graffiti on Sidewalk_structure Offensive,Graffiti on Sidewalk_structure Offensive,5,Western Addition,37.784151892,-122.434562043
1812005,12/22/2012 03:20 PM,,Open,"799 MARKET ST, SAN FRANCISCO, CA, 94103",Graffiti Public Property,Graffiti on Public Property - Not_Offensive,Graffiti on Public Property - Not_Offensive,6,Financial District,37.785646711,-122.405264061
1811981,12/22/2012 03:15 PM,,Open,Intersection of LEE AVE and OCEAN AVE,Graffiti Private Property,Graffiti on Building_other Not_Offensive,Graffiti on Building_other Not_Offensive,7,Ingleside,37.72345702,-122.454115898
1811980,12/22/2012 03:15 PM,,Open,Intersection of LEE AVE and OCEAN AVE,Graffiti Private Property,Graffiti on Building_other Not_Offensive,Graffiti on Building_other Not_Offensive,7,Ingleside,37.72345702,-122.454115898
1811802,12/22/2012 02:34 PM,12/22/2012 03:17 PM,Closed,Intersection of 4TH ST and MISSION ST,Graffiti Public Property,Graffiti on Pole Not_Offensive,Graffiti on Pole Not_Offensive,6,Financial District South,37.784478909,-122.40426672
1811759,12/22/2012 02:21 PM,,Open,"23 FRANKLIN ST, SAN FRANCISCO, CA, 94102",Graffiti Private Property,Graffiti on Building_residential Not_Offensive,Graffiti on Building_residential Not_Offensive,6,Downtown/Civic Center,37.774591466,-122.421143461
1811742,12/22/2012 02:15 PM,,Open,"1400 IRVING ST, SAN FRANCISCO, CA, 94122",Graffiti Private Property,Graffiti on Building_other Not_Offensive,Graffiti on Building_other Not_Offensive,5,Inner Sunset,37.76398608,-122.4729969
1811741,12/22/2012 02:15 PM,,Open,"4619 LINCOLN WAY, SAN FRANCISCO, CA, 94122",Graffiti Private Property,Graffiti on Building_other Not_Offensive,Graffiti on Building_other Not_Offensive,4,Outer Sunset,37.763836454,-122.50769022
1811740,12/22/2012 02:15 PM,,Open,"4621 LINCOLN WAY, SAN FRANCISCO, CA, 94122",Graffiti Private Property,Graffiti on Building_other Not_Offensive,Graffiti on Building_other Not_Offensive,4,Outer Sunset,37.763832784,-122.507776626
1811739,12/22/2012 02:15 PM,,Open,"4611 LINCOLN WAY, SAN FRANCISCO, CA, 94122",Graffiti Private Property,Graffiti on Building_other Not_Offensive,Graffiti on Building_other Not_Offensive,4,Outer Sunset,37.763841958,-122.50756061
1811737,12/22/2012 02:15 PM,,Open,"221 BAY SHORE BLVD, SAN FRANCISCO, CA, 94124",Graffiti Private Property,Graffiti on Building_other Not_Offensive,Graffiti on Building_other Not_Offensive,10,Bayview,37.744543962,-122.403692961
1811706,12/22/2012 02:03 PM,,Open,Intersection of DUBOCE AVE and STEVENSON ST,Graffiti Private Property,Graffiti on Building_commercial Not_Offensive,Graffiti on Building_commercial Not_Offensive,6,Inner Mission,37.769917285,-122.421583158
1811701,12/22/2012 02:01 PM,01/04/2013 06:11 AM,Closed,Intersection of 4TH ST and STEVENSON ST,Graffiti Private Property,Graffiti on Building_other Offensive,Graffiti on Building_other Offensive,6,Financial District South,37.785265357,-122.40523524
1811700,12/22/2012 02:01 PM,12/22/2012 03:17 PM,Closed,Intersection of 4TH ST and JESSIE ST,Graffiti Private Property,Graffiti on Building_other Offensive,Graffiti on Building_other Offensive,6,Financial District South,37.784908503,-122.404795175
1811699,12/22/2012 02:01 PM,,Open,Intersection of 4TH ST and MISSION ST,Graffiti Public Property,Graffiti on Public Property - Not_Offensive,Graffiti on Public Property - Not_Offensive,6,Financial District South,37.784478909,-122.40426672
1811622,12/22/2012 01:31 PM,,Open,"1242 20TH AVE, SAN FRANCISCO, CA, 94122",Graffiti Private Property,Graffiti on Building_residential Not_Offensive,Graffiti on Building_residential Not_Offensive,4,Outer Sunset,37.764567481,-122.477937988
1811576,12/22/2012 01:15 PM,,Open,"4744 3RD ST, SAN FRANCISCO, CA, 94124",Graffiti Private Property,Graffiti on Building_other Not_Offensive,Graffiti on Building_other Not_Offensive,10,Bayview,37.735280881,-122.390739342
1811575,12/22/2012 01:15 PM,,Open,"905 VERMONT ST, SAN FRANCISCO, CA, 94107",Graffiti Private Property,Graffiti on Building_other Not_Offensive,Graffiti on Building_other Not_Offensive,10,Potrero Hill,37.758159735,-122.403566133
1811574,12/22/2012 01:15 PM,,Open,"115 WISCONSIN ST, SAN FRANCISCO, CA, 94107",Graffiti Private Property,Graffiti on Building_other Not_Offensive,Graffiti on Building_other Not_Offensive,10,Potrero Hill,37.766030849,-122.399285089
1811573,12/22/2012 01:15 PM,,Open,"3908 3RD ST, SAN FRANCISCO, CA, 94124",Graffiti Private Property,Graffiti on Building_other Not_Offensive,Graffiti on Building_other Not_Offensive,10,Bayview,37.741922116,-122.38835723
1811572,12/22/2012 01:15 PM,,Open,"3908 3RD ST, SAN FRANCISCO, CA, 94124",Graffiti Private Property,Graffiti on Building_other Not_Offensive,Graffiti on Building_other Not_Offensive,10,Bayview,37.741922116,-122.38835723
1811494,12/22/2012 12:46 PM,,Open,"1687 MARKET ST, SAN FRANCISCO, CA, 94103",Graffiti Private Property,Graffiti on Building_commercial Not_Offensive,Graffiti on Building_commercial Not_Offensive,6,South of Market,37.772681545,-122.421800017
1811478,12/22/2012 12:41 PM,01/10/2013 02:17 PM,Closed,"2805 SAN BRUNO AVE, SAN FRANCISCO, CA, 94134",Graffiti Private Property,Graffiti on Building_residential Not_Offensive,Graffiti on Building_residential Not_Offensive,10,Excelsior,37.726326408,-122.402771555
1811197,12/22/2012 10:58 AM,12/27/2012 04:13 PM,Closed,"61 GOUGH ST, SAN FRANCISCO, CA, 94102",Graffiti Private Property,Graffiti on Building_commercial Not_Offensive,Graffiti on Building_commercial Not_Offensive,5,Western Addition,37.773295446,-122.422509752
1811088,12/22/2012 10:19 AM,12/26/2012 02:14 PM,Closed,"100 CARL ST, SAN FRANCISCO, CA, 94117",Graffiti Private Property,Graffiti on Building_commercial Offensive,Graffiti on Building_commercial Offensive,5,Haight Ashbury,37.765900587,-122.450275599
1811084,12/22/2012 10:18 AM,,Open,"900 COLE ST, SAN FRANCISCO, CA, 94117",Graffiti Private Property,Graffiti on Building_commercial Offensive,Graffiti on Building_commercial Offensive,5,Haight Ashbury,37.765579166,-122.449696216
1811014,12/22/2012 09:56 AM,12/26/2012 07:14 AM,Closed,"584 VICTORIA ST, SAN FRANCISCO, CA, 94132",Graffiti Public Property,Graffiti on Signal_box Not_Offensive,Graffiti on Signal_box Not_Offensive,11,Ocean View,37.721245944,-122.465099823
1810961,12/22/2012 09:37 AM,,Open,Intersection of ELLIS ST and FRANKLIN ST,Graffiti Public Property,Graffiti on Mail_box Not_Offensive,Graffiti on Mail_box Not_Offensive,6,Van Ness/Civic Center,37.783618777,-122.422652397
1810912,12/22/2012 09:18 AM,12/28/2012 07:13 AM,Closed,Intersection of ALEMANY BLVD and JUSTIN DR,Graffiti Public Property,Graffiti on Sidewalk_structure Offensive,Graffiti on Sidewalk_structure Offensive,9,Bernal Heights South,37.731815808,-122.42591914
1810800,12/22/2012 08:15 AM,,Open,"1461 DAVIDSON AVE, SAN FRANCISCO, CA, 94124",Graffiti Private Property,Graffiti on Building_other Not_Offensive,Graffiti on Building_other Not_Offensive,10,Bayview,37.743994978,-122.38910867
1810569,12/22/2012 02:49 AM,01/02/2013 03:12 PM,Closed,"3193 MISSION ST, SAN FRANCISCO, CA, 94110",Graffiti Private Property,Graffiti on Building_commercial Not_Offensive,Graffiti on Building_commercial Not_Offensive,9,Bernal Heights,37.745692119,-122.419495094
1809704,12/21/2012 05:30 PM,12/31/2012 07:14 AM,Closed,"65 TARA ST, SAN FRANCISCO, CA, 94112",Graffiti Private Property,Graffiti on Building_other Offensive,Graffiti on Building_other Offensive,11,Outer Mission,37.72201485,-122.447913675
1809575,12/21/2012 04:57 PM,12/22/2012 02:16 PM,Closed,"855 BARNEVELD AVE, SAN FRANCISCO, CA, 94134",Graffiti Private Property,Graffiti on Building_residential Offensive,Graffiti on Building_residential Offensive,9,Excelsior,37.732500852,-122.406770519
1809413,12/21/2012 04:15 PM,,Open,"1630 EVANS AVE, SAN FRANCISCO, CA, 94124",Graffiti Private Property,Graffiti on Building_other Not_Offensive,Graffiti on Building_other Not_Offensive,10,Bayview,37.743655312,-122.388809462
1809168,12/21/2012 03:15 PM,,Open,"1371 HAIGHT ST, SAN FRANCISCO, CA, 94117",Graffiti Private Property,Graffiti on Building_other Not_Offensive,Graffiti on Building_other Not_Offensive,5,Haight Ashbury,37.770164587,-122.444826573
1809167,12/21/2012 03:15 PM,,Open,"4435 MISSION ST, SAN FRANCISCO, CA, 94112",Graffiti Private Property,Graffiti on Building_other Not_Offensive,Graffiti on Building_other Not_Offensive,11,Excelsior,37.727106964,-122.432631028
1809166,12/21/2012 03:15 PM,,Open,"1529 HAIGHT ST, SAN FRANCISCO, CA, 94117",Graffiti Private Property,Graffiti on Building_other Not_Offensive,Graffiti on Building_other Not_Offensive,5,Haight Ashbury,37.769644661,-122.447401377
1809165,12/21/2012 03:15 PM,,Open,"2000 OAKDALE AVE, SAN FRANCISCO, CA, 94124",Graffiti Private Property,Graffiti on Building_other Not_Offensive,Graffiti on Building_other Not_Offensive,10,Bayview,37.739425548,-122.397908085
1809164,12/21/2012 03:15 PM,,Open,"915 CAYUGA AVE, SAN FRANCISCO, CA, 94112",Graffiti Private Property,Graffiti on Building_other Not_Offensive,Graffiti on Building_other Not_Offensive,11,Outer Mission,37.722938281,-122.438610913
1809163,12/21/2012 03:15 PM,,Open,"1519 HAIGHT ST, SAN FRANCISCO, CA, 94117",Graffiti Private Property,Graffiti on Building_other Not_Offensive,Graffiti on Building_other Not_Offensive,5,Haight Ashbury,37.769742991,-122.447268997
1808996,12/21/2012 02:38 PM,01/02/2013 03:12 PM,Closed,"1187 SOUTH VAN NESS AVE, SAN FRANCISCO, CA, 94110",Graffiti Private Property,Graffiti on Sidewalk_in_front_of_property Not_Offensive,Graffiti on Sidewalk_in_front_of_property Not_Offensive,9,Mission,37.754261431,-122.416085527
1808914,12/21/2012 02:15 PM,,Open,"5109 MISSION ST, SAN FRANCISCO, CA, 94112",Graffiti Private Property,Graffiti on Building_other Not_Offensive,Graffiti on Building_other Not_Offensive,11,Excelsior,37.716914537,-122.440326311
1808913,12/21/2012 02:15 PM,,Open,"1980 OAKDALE AVE, SAN FRANCISCO, CA, 94124",Graffiti Private Property,Graffiti on Building_other Not_Offensive,Graffiti on Building_other Not_Offensive,10,Bayview,37.73894116,-122.397164139
1808911,12/21/2012 02:15 PM,,Open,"1369 HAIGHT ST, SAN FRANCISCO, CA, 94117",Graffiti Private Property,Graffiti on Building_other Not_Offensive,Graffiti on Building_other Not_Offensive,5,Haight Ashbury,37.770169248,-122.444793821
1808910,12/21/2012 02:15 PM,,Open,"1245 SOUTH VAN NESS AVE, SAN FRANCISCO, CA, 94110",Graffiti Private Property,Graffiti on Building_other Not_Offensive,Graffiti on Building_other Not_Offensive,9,Mission,37.753247162,-122.415787786
1808909,12/21/2012 02:15 PM,,Open,"1391 HAIGHT ST, SAN FRANCISCO, CA, 94117",Graffiti Private Property,Graffiti on Building_other Not_Offensive,Graffiti on Building_other Not_Offensive,5,Haight Ashbury,37.770123293,-122.444998516
1808908,12/21/2012 02:15 PM,,Open,"1219 LANE ST, SAN FRANCISCO, CA, 94124",Graffiti Private Property,Graffiti on Building_other Not_Offensive,Graffiti on Building_other Not_Offensive,10,Bayview,37.734396021,-122.387403331
1808907,12/21/2012 02:15 PM,,Open,"5127 MISSION ST, SAN FRANCISCO, CA, 94112",Graffiti Private Property,Graffiti on Building_other Not_Offensive,Graffiti on Building_other Not_Offensive,11,Excelsior,37.716671756,-122.440506705
1808906,12/21/2012 02:15 PM,,Open,"958 HAIGHT ST, SAN FRANCISCO, CA, 94117",Graffiti Private Property,Graffiti on Building_other Not_Offensive,Graffiti on Building_other Not_Offensive,5,Haight Ashbury,37.771251387,-122.438048185
1808884,12/21/2012 02:10 PM,12/22/2012 01:16 PM,Closed,"700 GUERRERO ST, SAN FRANCISCO, CA, 94110",Graffiti Private Property,Graffiti on Building_residential Not_Offensive,Graffiti on Building_residential Not_Offensive,8,Mission,37.75999619,-122.42377447
1808875,12/21/2012 02:07 PM,,Open,"3637 18TH ST, SAN FRANCISCO, CA, 94110",Graffiti Private Property,Graffiti on Building_residential Not_Offensive,Graffiti on Building_residential Not_Offensive,8,Mission,37.761290441,-122.424588226
1808313,12/21/2012 11:20 AM,12/25/2012 04:31 AM,Closed,"3116 16TH ST, SAN FRANCISCO, CA, 94103",Graffiti Public Property,Graffiti on Pay_phone Not_Offensive,Graffiti on Pay_phone Not_Offensive,6,Mission,37.765143035,-122.422229555
1808228,12/21/2012 11:00 AM,12/21/2012 03:17 PM,Closed,"645 HAIGHT ST, SAN FRANCISCO, CA, 94117",Graffiti Public Property,Graffiti on Pole Not_Offensive,Graffiti on Pole Not_Offensive,5,Western Addition,37.771518619,-122.432814186
1808041,12/21/2012 10:12 AM,12/22/2012 04:16 PM,Closed,"599 VALENCIA ST, SAN FRANCISCO, CA, 94103",Graffiti Private Property,Graffiti on Sidewalk_in_front_of_property Not_Offensive,Graffiti on Sidewalk_in_front_of_property Not_Offensive,6,Mission,37.76355445,-122.421406454
1807918,12/21/2012 09:44 AM,12/22/2012 04:16 PM,Closed,"599 VALENCIA ST, SAN FRANCISCO, CA, 94103",Graffiti Private Property,Graffiti on Building_commercial Not_Offensive,Graffiti on Building_commercial Not_Offensive,6,Mission,37.76355445,-122.421406454
1807781,12/21/2012 09:19 AM,12/27/2012 09:55 AM,Closed,Intersection of 15TH ST and VALENCIA ST,Graffiti Public Property,Graffiti on Fire_Police_Callbox Not_Offensive,Graffiti on Fire_Police_Callbox Not_Offensive,6,Inner Mission,37.766539296,-122.422044228
1807710,12/21/2012 09:07 AM,12/26/2012 12:14 PM,Closed,Intersection of 15TH ST and JULIAN AVE,Graffiti Private Property,Graffiti on Sidewalk_in_front_of_property Not_Offensive,Graffiti on Sidewalk_in_front_of_property Not_Offensive,6,Inner Mission,37.766599355,-122.421056139
1807598,12/21/2012 08:36 AM,,Open,Intersection of ALEMANY BLVD and STONEYBROOK AVE,Graffiti Public Property,Graffiti on Pole Not_Offensive,Graffiti on Pole Not_Offensive,9,Excelsior,37.731352392,-122.421730811
1807578,12/21/2012 08:31 AM,01/14/2013 03:18 PM,Closed,Intersection of JUNIPERO SERRA BLVD and OCEAN AVE,Graffiti Private Property,Graffiti on Building_commercial Offensive,Graffiti on Building_commercial Offensive,7,Balboa Terrace,37.731205776,-122.472159485
1807295,12/21/2012 05:13 AM,12/22/2012 04:15 PM,Closed,"345 9TH ST, SAN FRANCISCO, CA, 94103",Graffiti Private Property,Graffiti on Building_commercial Not_Offensive,Graffiti on Building_commercial Not_Offensive,6,South of Market,37.773420404,-122.410684644
1807149,12/20/2012 10:36 PM,01/08/2013 09:02 AM,Closed,Intersection of 6TH ST and MARKET ST,Graffiti Private Property,Graffiti on Building_commercial Not_Offensive,Graffiti on Building_commercial Not_Offensive,6,Downtown/Tenderloin,37.782230614,-122.41029179
1806979,12/20/2012 08:54 PM,,Open,Intersection of DIVISADERO ST and FULTON ST,Graffiti Public Property,Graffiti on Sidewalk_structure Not_Offensive,Graffiti on Sidewalk_structure Not_Offensive,5,Alamo Square,37.776855746,-122.438177123
1806868,12/20/2012 07:53 PM,12/20/2012 09:16 PM,Closed,Intersection of CHESTNUT ST and FRANKLIN ST,Graffiti Public Property,Graffiti on Fire_Police_Callbox Not_Offensive,Graffiti on Fire_Police_Callbox Not_Offensive,2,Marina,37.802072151,-122.426377569
1806357,12/20/2012 04:33 PM,12/20/2012 05:16 PM,Closed,"2092 3RD ST, SAN FRANCISCO, CA, 94107",Graffiti Public Property,Graffiti on Public Property - Offensive,Graffiti on Public Property - Offensive,10,Potrero Hill,37.763187926,-122.389089851
1806326,12/20/2012 04:26 PM,12/26/2012 07:14 AM,Closed,"2055 LOMBARD ST, SAN FRANCISCO, CA, 94123",Graffiti Public Property,Graffiti on Sidewalk_structure Offensive,Graffiti on Sidewalk_structure Offensive,2,Marina,37.799694455,-122.43515049
1806284,12/20/2012 04:15 PM,,Open,"200 RHODE ISLAND ST, SAN FRANCISCO, CA, 94103",Graffiti Private Property,Graffiti on Building_other Not_Offensive,Graffiti on Building_other Not_Offensive,10,South of Market,37.766841512,-122.403215939
1806283,12/20/2012 04:15 PM,,Open,"1616 16TH ST, SAN FRANCISCO, CA, 94103",Graffiti Private Property,Graffiti on Building_other Not_Offensive,Graffiti on Building_other Not_Offensive,10,South of Market,37.766558027,-122.403250199
1806275,12/20/2012 04:11 PM,12/25/2012 04:31 AM,Closed,Intersection of ASHBURY ST and HAIGHT ST,Graffiti Public Property,Graffiti on News_rack Not_Offensive,Graffiti on News_rack Not_Offensive,5,Haight Ashbury,37.770007571,-122.446933347
1806205,12/20/2012 03:55 PM,,Open,Intersection of 24TH ST and MISSION ST,Graffiti Private Property,Graffiti on Building_commercial Not_Offensive,Graffiti on Building_commercial Not_Offensive,9,Inner Mission,37.75223922,-122.418444728
1806200,12/20/2012 03:54 PM,01/07/2013 02:02 PM,Closed,Intersection of 19TH ST and MISSION ST,Graffiti Private Property,Graffiti on Building_commercial Not_Offensive,Graffiti on Building_commercial Not_Offensive,9,Inner Mission,37.760235476,-122.419206555
1806184,12/20/2012 03:51 PM,12/21/2012 02:18 PM,Closed,"1947 MISSION ST, SAN FRANCISCO, CA, 94103",Graffiti Private Property,Graffiti on Building_commercial Not_Offensive,Graffiti on Building_commercial Not_Offensive,6,Mission,37.765929434,-122.419400383
1806177,12/20/2012 03:50 PM,12/21/2012 02:18 PM,Closed,"2071 MISSION ST, SAN FRANCISCO, CA, 94110",Graffiti Private Property,Graffiti on Building_commercial Not_Offensive,Graffiti on Building_commercial Not_Offensive,6,Mission,37.763914007,-122.419232391
1806172,12/20/2012 03:49 PM,12/21/2012 04:17 PM,Closed,"2318 MISSION ST, SAN FRANCISCO, CA, 94110",Graffiti Private Property,Graffiti on Building_commercial Not_Offensive,Graffiti on Building_commercial Not_Offensive,9,Mission,37.759872647,-122.41947398
1806167,12/20/2012 03:49 PM,,Open,"2344 MISSION ST, SAN FRANCISCO, CA, 94110",Graffiti Private Property,Graffiti on Building_commercial Not_Offensive,Graffiti on Building_commercial Not_Offensive,9,Mission,37.75948265,-122.419436224
1806160,12/20/2012 03:48 PM,,Open,"2370 MISSION ST, SAN FRANCISCO, CA, 94110",Graffiti Private Property,Graffiti on Building_commercial Not_Offensive,Graffiti on Building_commercial Not_Offensive,9,Mission,37.759099214,-122.419400367
1806156,12/20/2012 03:47 PM,12/21/2012 01:16 PM,Closed,"2632 MISSION ST, SAN FRANCISCO, CA, 94110",Graffiti Private Property,Graffiti on Building_commercial Not_Offensive,Graffiti on Building_commercial Not_Offensive,9,Mission,37.754833428,-122.419051437
1806148,12/20/2012 03:45 PM,,Open,"2732 MISSION ST, SAN FRANCISCO, CA, 94110",Graffiti Private Property,Graffiti on Building_commercial Not_Offensive,Graffiti on Building_commercial Not_Offensive,9,Mission,37.753210339,-122.418895343
1806029,12/20/2012 03:20 PM,,Open,"2706 MISSION ST, SAN FRANCISCO, CA, 94110",Graffiti Private Property,Graffiti on Building_commercial Not_Offensive,Graffiti on Building_commercial Not_Offensive,9,Mission,37.75360887,-122.418881418
1806023,12/20/2012 03:19 PM,,Open,"2745 MISSION ST, SAN FRANCISCO, CA, 94110",Graffiti Private Property,Graffiti on Building_commercial Not_Offensive,Graffiti on Building_commercial Not_Offensive,9,Mission,37.753152335,-122.418172505
1806016,12/20/2012 03:18 PM,,Open,"2756 MISSION ST, SAN FRANCISCO, CA, 94110",Graffiti Private Property,Graffiti on Building_commercial Not_Offensive,Graffiti on Building_commercial Not_Offensive,9,Mission,37.752936896,-122.418869252
1806003,12/20/2012 03:16 PM,12/21/2012 03:17 PM,Closed,"901 HAIGHT ST, SAN FRANCISCO, CA, 94117",Graffiti Private Property,Graffiti on Building_commercial Not_Offensive,Graffiti on Building_commercial Not_Offensive,5,Haight Ashbury,37.771052663,-122.437186524
1806001,12/20/2012 03:16 PM,,Open,"851 7TH ST, SAN FRANCISCO, CA, 94107",Graffiti Private Property,Graffiti on Building_other Not_Offensive,Graffiti on Building_other Not_Offensive,6,South of Market,37.770202615,-122.399163372
1806000,12/20/2012 03:16 PM,,Open,"370 DE HARO ST, SAN FRANCISCO, CA, 94103",Graffiti Private Property,Graffiti on Building_other Not_Offensive,Graffiti on Building_other Not_Offensive,10,Potrero Hill,37.765444793,-122.402138626
1805999,12/20/2012 03:16 PM,,Open,"575 POLK ST, SAN FRANCISCO, CA, 94102",Graffiti Private Property,Graffiti on Building_other Not_Offensive,Graffiti on Building_other Not_Offensive,6,Downtown/Civic Center,37.781879947,-122.419198296
1805998,12/20/2012 03:16 PM,,Open,"200 RHODE ISLAND ST, SAN FRANCISCO, CA, 94103",Graffiti Private Property,Graffiti on Building_other Not_Offensive,Graffiti on Building_other Not_Offensive,10,South of Market,37.766841512,-122.403215939
1805993,12/20/2012 03:15 PM,01/10/2013 03:17 PM,Closed,"2298 MISSION ST, SAN FRANCISCO, CA, 94110",Graffiti Private Property,Graffiti on Building_commercial Not_Offensive,Graffiti on Building_commercial Not_Offensive,9,Mission,37.760353452,-122.419501973
1805984,12/20/2012 03:13 PM,01/07/2013 03:16 PM,Closed,"3416 19TH ST, SAN FRANCISCO, CA, 94110",Graffiti Private Property,Graffiti on Building_commercial Not_Offensive,Graffiti on Building_commercial Not_Offensive,9,Mission,37.760411613,-122.419692046
1805975,12/20/2012 03:11 PM,12/21/2012 04:16 PM,Closed,"2762 23RD ST, SAN FRANCISCO, CA, 94110",Graffiti Private Property,Graffiti on Building_commercial Not_Offensive,Graffiti on Building_commercial Not_Offensive,9,Mission,37.754672069,-122.407756447
1805905,12/20/2012 02:56 PM,12/21/2012 04:16 PM,Closed,"575 POLK ST, SAN FRANCISCO, CA, 94102",Graffiti Private Property,Graffiti on Sidewalk_in_front_of_property Not_Offensive,Graffiti on Sidewalk_in_front_of_property Not_Offensive,6,Downtown/Civic Center,37.781879947,-122.419198296
1805902,12/20/2012 02:56 PM,,Open,"1855 MISSION ST, SAN FRANCISCO, CA, 94103",Graffiti Private Property,Graffiti on Building_other Not_Offensive,Graffiti on Building_other Not_Offensive,6,Mission,37.767457354,-122.419479658
1805892,12/20/2012 02:53 PM,01/11/2013 04:36 AM,Closed,Intersection of CLAYTON ST and HAIGHT ST,Graffiti Public Property,Graffiti on News_rack Not_Offensive,Graffiti on News_rack Not_Offensive,5,Haight Ashbury,37.769797716,-122.448578485
1805888,12/20/2012 02:53 PM,01/01/2013 04:43 AM,Closed,Intersection of 15TH ST and MISSION ST,Graffiti Private Property,Graffiti on Building_other Not_Offensive,Graffiti on Building_other Not_Offensive,6,Inner Mission,37.76667381,-122.419824471
1805886,12/20/2012 02:51 PM,12/26/2012 07:14 AM,Closed,"1510 WALLER ST, SAN FRANCISCO, CA, 94117",Graffiti Public Property,Graffiti on Pole Not_Offensive,Graffiti on Pole Not_Offensive,5,Haight Ashbury,37.768943732,-122.448642593
1805730,12/20/2012 02:16 PM,,Open,"3950 3RD ST, SAN FRANCISCO, CA, 94124",Graffiti Private Property,Graffiti on Building_other Not_Offensive,Graffiti on Building_other Not_Offensive,10,Bayview,37.741530289,-122.38874161
1805729,12/20/2012 02:16 PM,,Open,"1630 17TH ST, SAN FRANCISCO, CA, 94103",Graffiti Private Property,Graffiti on Building_other Not_Offensive,Graffiti on Building_other Not_Offensive,10,Potrero Hill,37.765151547,-122.400155339
1805728,12/20/2012 02:16 PM,,Open,"1630 17TH ST, SAN FRANCISCO, CA, 94103",Graffiti Private Property,Graffiti on Building_other Not_Offensive,Graffiti on Building_other Not_Offensive,10,Potrero Hill,37.765151547,-122.400155339
1805727,12/20/2012 02:16 PM,,Open,"166 WISCONSIN ST, SAN FRANCISCO, CA, 94103",Graffiti Private Property,Graffiti on Building_other Not_Offensive,Graffiti on Building_other Not_Offensive,10,Potrero Hill,37.765433805,-122.400197162
1805726,12/20/2012 02:16 PM,,Open,"1056 GRANT AVE, SAN FRANCISCO, CA, 94133",Graffiti Private Property,Graffiti on Building_other Not_Offensive,Graffiti on Building_other Not_Offensive,3,Chinatown,37.796777599,-122.406629722
1805725,12/20/2012 02:16 PM,,Open,"1550 17TH ST, SAN FRANCISCO, CA, 94107",Graffiti Private Property,Graffiti on Building_other Not_Offensive,Graffiti on Building_other Not_Offensive,10,Potrero Hill,37.765330022,-122.399478243
1805724,12/20/2012 02:15 PM,,Open,"838 GRANT AVE, SAN FRANCISCO, CA, 94108",Graffiti Private Property,Graffiti on Building_other Not_Offensive,Graffiti on Building_other Not_Offensive,3,Chinatown,37.794825127,-122.40608458
1805723,12/20/2012 02:15 PM,,Open,"1066 GRANT AVE, SAN FRANCISCO, CA, 94133",Graffiti Private Property,Graffiti on Building_other Not_Offensive,Graffiti on Building_other Not_Offensive,3,Chinatown,37.796777599,-122.406629722
1805722,12/20/2012 02:15 PM,,Open,"4620 3RD ST, SAN FRANCISCO, CA, 94124",Graffiti Private Property,Graffiti on Building_other Not_Offensive,Graffiti on Building_other Not_Offensive,10,Bayview,37.736094355,-122.390561155
1805721,12/20/2012 02:15 PM,,Open,"728 PACIFIC AVE, SAN FRANCISCO, CA, 94133",Graffiti Private Property,Graffiti on Building_other Not_Offensive,Graffiti on Building_other Not_Offensive,3,Chinatown,37.797084845,-122.40747015
1805720,12/20/2012 02:15 PM,,Open,"1001 GRANT AVE, SAN FRANCISCO, CA, 94133",Graffiti Private Property,Graffiti on Building_other Not_Offensive,Graffiti on Building_other Not_Offensive,3,Chinatown,37.796161042,-122.406876976
1805719,12/20/2012 02:15 PM,,Open,"1027 GRANT AVE, SAN FRANCISCO, CA, 94133",Graffiti Private Property,Graffiti on Building_other Not_Offensive,Graffiti on Building_other Not_Offensive,3,Chinatown,37.796332415,-122.407031959
1805687,12/20/2012 02:04 PM,,Open,Intersection of FRANKLIN ST and GEARY BLVD,Graffiti Private Property,Graffiti on Building_commercial Not_Offensive,Graffiti on Building_commercial Not_Offensive,2,Van Ness/Civic Center,37.78548193,-122.423027716
1805574,12/20/2012 01:33 PM,,Open,"1151 MISSION ST, SAN FRANCISCO, CA, 94103",Graffiti Private Property,Graffiti on Building_commercial Not_Offensive,Graffiti on Building_commercial Not_Offensive,6,South of Market,37.778046595,-122.411812486
1805090,12/20/2012 11:24 AM,01/04/2013 10:12 AM,Closed,Intersection of MCCOPPIN ST and VALENCIA ST,Graffiti Public Property,Graffiti on City_receptacle Not_Offensive,Graffiti on City_receptacle Not_Offensive,6,South of Market,37.771594833,-122.422526294
1805080,12/20/2012 11:22 AM,12/22/2012 02:16 PM,Closed,Intersection of MCCOPPIN ST and VALENCIA ST,Graffiti Public Property,Graffiti on Pole Not_Offensive,Graffiti on Pole Not_Offensive,6,South of Market,37.771594833,-122.422526294
